Timestamp	이름 (또는 닉네임)	이 책에서 가장 중요하다고 생각하는 키워드 3개	이 책의 핵심 메시지를 한 문장으로 요약한다면?	이 책을 읽고 나만의 관점에서 얻은 인사이트는?	이 책과 연결되는 다른 개념이나 키워드가 있다면?	이 책이 당신의 기존 생각에 미친 영향은?	나와 비슷한 관점을 가질 것 같은 참여자가 있다면?
Mon Jan 08 2024 18:00:00 GMT+0900 (Korean Standard Time)	장준영	디스트리뷰티드팀워크, 분산협업, 전지구적연결	지리적 제약을 넘어선 글로벌 협업	시차를 활용해서 24시간 연속으로 협업	분산협업	기존 생각을 부분적으로 수정했다	정서진
Mon Jan 08 2024 18:15:00 GMT+0900 (Korean Standard Time)	정서진	디지털웰빙, 기술과조화, 의식적사용	기술을 도구로 활용하되 중독되지 않기	스마트폰을 도구로 쓰되 스마트폰에게 조종당하지 않기	디지털조화	기존 생각을 확인강화시켰다	조민준
Mon Jan 08 2024 18:30:00 GMT+0900 (Korean Standard Time)	조민준	플로우해킹, 몰입상태조작, 최적성능유도	몰입 상태를 의도적으로 만들고 활용	환경과 과제 설계로 언제든 몰입 상태 진입	플로우해킹	기존 생각을 크게 확장시켰다	최하은
Mon Jan 08 2024 18:45:00 GMT+0900 (Korean Standard Time)	최하은	프랙시스, 실천을통한변화, 행동하는이론	이론과 실천이 결합된 변화 행동	생각만 하지 말고 실제로 실천하며 세상 바꾸기	실천학	완전히 새로운 관점을 제시했다	김민준
Tue Jan 09 2024 09:00:00 GMT+0900 (Korean Standard Time)	김민준	미세환경설계, 마이크로엔바이런먼트, 세밀한조정	아주 작은 환경 요소까지 세심하게 설계	조명의 각도, 의자의 높이까지 모든 것을 최적화	미세설계	기존 생각을 부분적으로 수정했다	이서연
Tue Jan 09 2024 09:15:00 GMT+0900 (Korean Standard Time)	이서연	의미중심치료, 로고테라피, 삶의목적	삶의 의미와 목적이 모든 치유의 기초	고통도 의미가 있다면 견딜 수 있다는 발견	의미치료	기존 생각을 확인강화시켰다	박지호
Tue Jan 09 2024 09:30:00 GMT+0900 (Korean Standard Time)	박지호	지속적개선, 카이젠, 작은변화누적	매일 조금씩 개선하는 카이젠 철학	대변화보다는 작은 개선을 지속적으로	카이젠	기존 생각을 크게 확장시켰다	최유진
Tue Jan 09 2024 09:45:00 GMT+0900 (Korean Standard Time)	최유진	지수함수적사고, 기하급수성장, 복합효과	선형이 아닌 지수함수적 변화의 힘	초기에는 느리지만 나중에는 폭발적 성장	지수성장	완전히 새로운 관점을 제시했다	정도현
Tue Jan 09 2024 10:00:00 GMT+0900 (Korean Standard Time)	정도현	알고리즘사고, 논리적절차, 체계적접근	컴퓨터 알고리즘처럼 체계적 절차	복잡한 문제를 단순한 단계로 분해해서 해결	알고리즘	기존 생각을 부분적으로 수정했다	한예슬
Tue Jan 09 2024 10:15:00 GMT+0900 (Korean Standard Time)	한예슬	자동화엔지니어링, 무인시스템, 효율성추구	인간 개입을 최소화한 자동화 시스템	한 번 설정하면 자동으로 돌아가는 시스템	자동화공학	기존 생각을 확인강화시켰다	강태민
Tue Jan 09 2024 10:30:00 GMT+0900 (Korean Standard Time)	강태민	뉴로플라스티시티, 뇌가소성, 변화가능성	뇌는 평생에 걸쳐 변화 가능하다는 희망	나이와 상관없이 새로운 습관 형성 가능	뇌가소성	기존 생각을 크게 확장시켰다	송하린
Tue Jan 09 2024 10:45:00 GMT+0900 (Korean Standard Time)	송하린	게임이피케이션, 놀이요소도입, 재미추구	일상을 게임처럼 재미있게 만들기	포인트, 레벨, 업적 시스템으로 동기부여	게임화	완전히 새로운 관점을 제시했다	임재윤
Tue Jan 09 2024 11:00:00 GMT+0900 (Korean Standard Time)	임재윤	사용자중심설계, 인간중심, 편의성추구	사용자의 편의를 최우선으로 한 설계	복잡한 기능보다는 쉽고 편리한 사용성	사용자중심	기존 생각을 부분적으로 수정했다	오수빈
Tue Jan 09 2024 11:15:00 GMT+0900 (Korean Standard Time)	오수빈	사회적영향력, 체인지메이커, 긍정적변화	개인의 변화가 사회 전체에 미치는 파급효과	내 작은 변화가 나비효과로 큰 변화 만들기	체인지메이킹	기존 생각을 확인강화시켰다	장서준
Tue Jan 09 2024 11:30:00 GMT+0900 (Korean Standard Time)	장서준	회복탄력성, 리질리언스, 역경극복	어려움을 이겨내고 더 강해지는 힘	실패와 좌절에서 더 강한 자신으로 성장	회복력	기존 생각을 크게 확장시켰다	윤지우
Tue Jan 09 2024 11:45:00 GMT+0900 (Korean Standard Time)	윤지우	창의적문제해결, 혁신적사고, 틀깨기	기존 틀을 깨는 창의적 문제 해결	남들과 다른 관점에서 독창적 해결책 찾기	창의적해결	완전히 새로운 관점을 제시했다	조예준
Tue Jan 09 2024 12:00:00 GMT+0900 (Korean Standard Time)	조예준	재생가능설계, 지속가능시스템, 순환경제	소모하지 않고 재생하는 지속가능한 시스템	에너지를 쓰는 것이 아니라 만들어내는 구조	재생시스템	기존 생각을 부분적으로 수정했다	신서현
Tue Jan 09 2024 12:15:00 GMT+0900 (Korean Standard Time)	신서현	순수의식, 무념무상, 깨어있음	생각을 멈추고 순수한 의식 상태로	복잡한 계획과 분석을 멈추고 순수한 존재	순수의식	기존 생각을 확인강화시켰다	홍도윤
Tue Jan 09 2024 12:30:00 GMT+0900 (Korean Standard Time)	홍도윤	시나리오플래닝, 미래예측, 다중계획	여러 시나리오를 고려한 전략적 계획	최선-보통-최악의 경우를 모두 준비	시나리오기획	기존 생각을 크게 확장시켰다	백주은
Tue Jan 09 2024 12:45:00 GMT+0900 (Korean Standard Time)	백주은	크로노바이올로지, 시간생물학, 생체리듬최적화	유전자 수준의 생체시계에 맞춘 생활	개인의 고유한 생체 리듬을 과학적으로 분석	시간생물학	완전히 새로운 관점을 제시했다	남시우
Tue Jan 09 2024 13:00:00 GMT+0900 (Korean Standard Time)	남시우	서버리스아키텍처, 무서버구조, 유연한시스템	서버 관리 없이 필요할 때만 실행되는 시스템	복잡한 관리 없이 필요할 때만 작동하는 구조	서버리스	기존 생각을 부분적으로 수정했다	류예은
Tue Jan 09 2024 13:15:00 GMT+0900 (Korean Standard Time)	류예은	긍정심리학, 강점기반접근, 웰빙증진	문제 해결보다는 강점 발견과 활용	부족함을 채우려 하지 말고 강점을 더 키우기	강점심리학	기존 생각을 확인강화시켰다	문지훈
Tue Jan 09 2024 13:30:00 GMT+0900 (Korean Standard Time)	문지훈	지수적혁신, 기하급수적변화, 패러다임전환	선형적 개선이 아닌 지수적 혁신	기존 방법의 연장이 아닌 완전히 새로운 접근	지수혁신	기존 생각을 크게 확장시켰다	고은우
Tue Jan 09 2024 13:45:00 GMT+0900 (Korean Standard Time)	고은우	언컨디셔널포지티브리가드, 무조건적긍정적존중, 있는그대로수용	있는 그대로의 자신을 완전히 받아들이기	조건 없이 자신을 존중하고 사랑하기	무조건적수용	완전히 새로운 관점을 제시했다	양준서
Tue Jan 09 2024 14:00:00 GMT+0900 (Korean Standard Time)	양준서	복잡적응시스템, 자기조직화, 창발적질서	복잡한 시스템에서 저절로 나타나는 질서	개별 요소들이 상호작용하며 새로운 질서 창출	복잡적응	기존 생각을 부분적으로 수정했다	권민서
Tue Jan 09 2024 14:15:00 GMT+0900 (Korean Standard Time)	권민서	성장마인드셋, 가능성신념, 지속적발전	능력은 고정된 것이 아니라 계속 발전 가능	실패는 부족함이 아니라 아직 성장 중이라는 증거	성장사고	기존 생각을 확인강화시켰다	마준혁
Tue Jan 09 2024 14:30:00 GMT+0900 (Korean Standard Time)	마준혁	데브옵스문화, 개발운영통합, 지속적배포	개발과 운영의 경계를 없앤 통합적 접근	습관 설계와 실행을 분리하지 않고 통합 관리	데브옵스	기존 생각을 크게 확장시켰다	진서윤
Tue Jan 09 2024 14:45:00 GMT+0900 (Korean Standard Time)	진서윤	래디컬셀프케어, 급진적자기돌봄, 경계설정	자신을 돌보는 것이 이기적이 아닌 필수	타인을 돕기 전에 먼저 자신을 충분히 돌보기	급진적돌봄	완전히 새로운 관점을 제시했다	방시원
Tue Jan 09 2024 15:00:00 GMT+0900 (Korean Standard Time)	방시원	네트워크분석, 관계구조파악, 연결패턴	사람들 사이의 연결 구조와 영향력 분석	누가 누구에게 어떤 영향을 미치는지 네트워크로	관계분석	기존 생각을 부분적으로 수정했다	공지안
Tue Jan 09 2024 15:15:00 GMT+0900 (Korean Standard Time)	공지안	내러티브테라피, 이야기치료, 의미재구성	자신의 인생 이야기를 다시 써보기	문제 중심이 아닌 강점과 가능성 중심 스토리	이야기치료	기존 생각을 확인강화시켰다	노건우
Tue Jan 09 2024 15:30:00 GMT+0900 (Korean Standard Time)	노건우	홀리스틱피트니스, 전인적건강, 통합적운동	신체적 건강뿐만 아닌 정신적 영적 건강까지	몸과 마음과 영혼이 함께 건강해지는 운동	전인운동	기존 생각을 크게 확장시켰다	도채원
Tue Jan 09 2024 15:45:00 GMT+0900 (Korean Standard Time)	도채원	킨츠키, 깨진것의아름다움, 상처수용	깨진 그릇을 금으로 이어 더 아름답게	실패와 상처를 숨기지 말고 금처럼 빛나게	킨츠기	완전히 새로운 관점을 제시했다	라현준
Tue Jan 09 2024 16:00:00 GMT+0900 (Korean Standard Time)	라현준	컬레보러티브러닝, 협력학습, 집단지성	혼자 배우는 것보다 함께 배우는 것의 힘	서로 다른 관점과 경험을 나누며 함께 성장	집단학습	기존 생각을 부분적으로 수정했다	모아린
Tue Jan 09 2024 16:15:00 GMT+0900 (Korean Standard Time)	모아린	애니미즘, 만물유령론, 생명경외	모든 사물에 영혼이 있다는 원시적 지혜	습관도 하나의 생명체처럼 소중히 돌보기	만물생명	기존 생각을 확인강화시켰다	배준우
Tue Jan 09 2024 16:30:00 GMT+0900 (Korean Standard Time)	배준우	오픈사이언스, 열린과학, 투명성	과학적 방법과 결과를 모두에게 공개	내 실험과 결과를 다른 사람들과 투명하게 공유	열린과학	기존 생각을 크게 확장시켰다	서지민
Tue Jan 09 2024 16:45:00 GMT+0900 (Korean Standard Time)	서지민	소셜이덴티티, 집단정체성, 소속감	어떤 집단에 속하느냐가 자아 정체성 형성	좋은 습관을 가진 사람들' 집단의 일원되기	집단소속	완전히 새로운 관점을 제시했다	염시후
Tue Jan 09 2024 17:00:00 GMT+0900 (Korean Standard Time)	염시후	위험감수, 계산된모험, 성장도전	안전지대를 벗어나는 계산된 위험 감수	실패할 수도 있지만 그 위험을 감수하고 도전	위험감수	기존 생각을 부분적으로 수정했다	유채은
Tue Jan 09 2024 17:15:00 GMT+0900 (Korean Standard Time)	유채은	통합의학적접근, 동서양융합, 전체론적치유	서양의학과 동양의학의 장점을 모두 활용	과학적 검증과 전통적 지혜를 함께 활용	융합의학	기존 생각을 확인강화시켰다	이건희
Tue Jan 09 2024 17:30:00 GMT+0900 (Korean Standard Time)	이건희	개인화학습, 맞춤형교육, 적응형시스템	개인의 특성에 완벽하게 맞춘 학습 경험	학습자의 속도, 스타일, 선호에 맞춰 적응	개인화교육	기존 생각을 크게 확장시켰다	임나은
Tue Jan 09 2024 17:45:00 GMT+0900 (Korean Standard Time)	임나은	소매틱경험, 몸의지혜, 내부감각	몸의 내부 감각에 귀 기울이는 지혜	머리의 생각보다 몸의 감각을 먼저 신뢰하기	몸의지혜	완전히 새로운 관점을 제시했다	장준영
Tue Jan 09 2024 18:00:00 GMT+0900 (Korean Standard Time)	장준영	글로벌콜라보레이션, 국경없는협력, 세계시민	국가와 문화의 경계를 넘나드는 협력	전 세계 사람들과 함께 공동의 목표 추구	세계협력	기존 생각을 부분적으로 수정했다	정서진
Tue Jan 09 2024 18:15:00 GMT+0900 (Korean Standard Time)	정서진	디지털시민성, 온라인윤리, 책임감	디지털 세상에서의 올바른 시민 의식	온라인에서도 오프라인과 같은 윤리와 책임감	디지털윤리	기존 생각을 확인강화시켰다	조민준
Tue Jan 09 2024 18:30:00 GMT+0900 (Korean Standard Time)	조민준	피크퍼포먼스, 최고성능, 극한효율	인간 능력의 극한을 끌어내는 최적화	올림픽 선수처럼 최고 성능을 위한 모든 조건	최고성능	기존 생각을 크게 확장시켰다	최하은
Tue Jan 09 2024 18:45:00 GMT+0900 (Korean Standard Time)	최하은	변혁적학습, 관점전환, 패러다임변화	기존 관점을 완전히 바꾸는 변혁적 학습	단순한 정보 습득이 아닌 세계관의 근본적 변화	변혁학습	완전히 새로운 관점을 제시했다	김민준
Wed Jan 10 2024 09:00:00 GMT+0900 (Korean Standard Time)	김민준	환경디자인심리학, 공간이행동에미치는영향, 행동유도설계	물리적 공간이 심리와 행동을 결정하는 원리	색온도, 조도, 공간 배치로 원하는 행동 유도	환경심리학	기존 생각을 부분적으로 수정했다	이서연
Wed Jan 10 2024 09:15:00 GMT+0900 (Korean Standard Time)	이서연	실존적의미추구, 삶의목적발견, 개인적사명	각자만의 고유한 삶의 의미와 사명 발견	남의 기준이 아닌 나만의 진정한 의미 찾기	실존의미	기존 생각을 확인강화시켰다	박지호
Wed Jan 10 2024 09:30:00 GMT+0900 (Korean Standard Time)	박지호	전사적품질경영, 시스템적개선, 통합관리	생활 전체를 하나의 품질 시스템으로 관리	개별 습관이 아닌 라이프스타일 전체의 품질	시스템품질	기존 생각을 크게 확장시켰다	최유진
Wed Jan 10 2024 09:45:00 GMT+0900 (Korean Standard Time)	최유진	복리투자철학, 장기관점, 인내심	단기 성과에 연연하지 않는 장기 투자 마인드	매일의 작은 투자가 시간을 통해 거대한 수익	장기투자	완전히 새로운 관점을 제시했다	정도현
Wed Jan 10 2024 10:00:00 GMT+0900 (Korean Standard Time)	정도현	빅데이터라이프, 개인데이터활용, 패턴기반최적화	개인의 모든 데이터를 활용한 최적화	수면, 운동, 식사 모든 데이터를 종합 분석	개인빅데이터	기존 생각을 부분적으로 수정했다	한예슬
Wed Jan 10 2024 10:15:00 GMT+0900 (Korean Standard Time)	한예슬	완전자동화, 무인화시스템, 제로터치	인간 개입 없이 완전 자동으로 작동하는 시스템	한 번 설정으로 평생 자동 실행되는 습관	완전자동화	기존 생각을 확인강화시켰다	강태민
Wed Jan 10 2024 10:30:00 GMT+0900 (Korean Standard Time)	강태민	뇌훈련과학, 인지능력향상, 두뇌최적화	과학적 방법으로 뇌 기능을 향상시키기	기억력, 집중력, 창의력을 체계적으로 훈련	뇌최적화	기존 생각을 크게 확장시켰다	송하린
Wed Jan 10 2024 10:45:00 GMT+0900 (Korean Standard Time)	송하린	라이프게이미피케이션, 인생게임화, 전면적재미화	인생 전체를 하나의 거대한 게임으로	레벨업, 퀘스트, 업적으로 모든 삶을 게임화	인생게임화	완전히 새로운 관점을 제시했다	임재윤
Wed Jan 10 2024 11:00:00 GMT+0900 (Korean Standard Time)	임재윤	휴먼센터드이노베이션, 인간중심혁신, 공감기반설계	기술이 아닌 인간의 필요를 중심으로 한 혁신	사용자의 깊은 니즈와 감정을 이해한 설계	인간중심혁신	기존 생각을 부분적으로 수정했다	오수빈
Wed Jan 10 2024 11:15:00 GMT+0900 (Korean Standard Time)	오수빈	글로벌시티즌십, 세계시민의식, 지구촌책임감	지구 전체를 하나의 공동체로 인식	내 작은 습관이 지구 환경과 인류에 미치는 영향	세계시민	기존 생각을 확인강화시켰다	장서준
Wed Jan 10 2024 11:30:00 GMT+0900 (Korean Standard Time)	장서준	트라우마인폼드그로스, 상처를통한성장, 역경의지혜	과거의 상처와 트라우마를 성장의 자원으로	아픈 경험을 회피하지 말고 성장의 밑거름으로	상처성장	기존 생각을 크게 확장시켰다	윤지우
Wed Jan 10 2024 11:45:00 GMT+0900 (Korean Standard Time)	윤지우	디자인씽킹플러스, 확장된설계사고, 전방위적혁신	단순한 제품 설계를 넘어선 삶의 설계	공감-정의-아이디어-프로토타입-테스트로 인생 설계	라이프디자인	완전히 새로운 관점을 제시했다	조예준
Wed Jan 10 2024 12:00:00 GMT+0900 (Korean Standard Time)	조예준	서큘러이코노미, 순환경제, 재생가능성	폐기물 없는 완전한 순환 구조	에너지를 소모만 하지 않고 다시 생산하는 순환	순환시스템	기존 생각을 부분적으로 수정했다	신서현
Wed Jan 10 2024 12:15:00 GMT+0900 (Korean Standard Time)	신서현	순수각성, 깨어있는의식, 무조건적알아차림	어떤 조건이나 판단 없이 순수하게 깨어있기	좋고 나쁨을 판단하지 말고 있는 그대로 관찰	순수각성	기존 생각을 확인강화시켰다	홍도윤
Wed Jan 10 2024 12:30:00 GMT+0900 (Korean Standard Time)	홍도윤	전략적미래설계, 장기비전수립, 시나리오기반계획	10년, 20년 후를 내다보는 전략적 인생 설계	현재의 선택이 미래에 어떤 결과를 가져올지	미래설계	기존 생각을 크게 확장시켰다	백주은
Wed Jan 10 2024 12:45:00 GMT+0900 (Korean Standard Time)	백주은	정밀의학적라이프스타일, 개인맞춤건강, 유전자기반최적화	개인의 유전자 정보에 기반한 맞춤형 건강	유전자 검사 결과로 나에게 최적인 습관 설계	정밀건강	완전히 새로운 관점을 제시했다	남시우
Wed Jan 10 2024 13:00:00 GMT+0900 (Korean Standard Time)	남시우	마이크로서비스라이프, 분산생활시스템, 모듈화된일상	큰 시스템을 작은 독립적 서비스로 분해	복잡한 라이프스타일을 작은 모듈로 나누어 관리	모듈생활	기존 생각을 부분적으로 수정했다	류예은
Wed Jan 10 2024 13:15:00 GMT+0900 (Korean Standard Time)	류예은	긍정심리학2.0, 번영심리학, 최적인간기능	문제 치료를 넘어선 인간 번영의 과학	결핍을 채우는 것이 아닌 강점을 극대화하기	번영심리학	기존 생각을 확인강화시켰다	문지훈
Wed Jan 10 2024 13:30:00 GMT+0900 (Korean Standard Time)	문지훈	패러다임시프트, 근본적전환, 혁명적변화	기존 틀을 완전히 바꾸는 근본적 전환	개선이 아닌 완전히 새로운 방식으로의 도약	패러다임전환	기존 생각을 크게 확장시켰다	고은우
Wed Jan 10 2024 13:45:00 GMT+0900 (Korean Standard Time)	고은우	무조건적자기수용, 조건없는사랑, 완전한받아들임	어떤 조건도 없이 나 자신을 완전히 받아들이기	성공해야만, 완벽해야만이 아닌 있는 그대로	무조건사랑	완전히 새로운 관점을 제시했다	양준서
Wed Jan 10 2024 14:00:00 GMT+0900 (Korean Standard Time)	양준서	에머전트전략, 창발적계획, 유연한적응	미리 정한 계획이 아닌 상황에 따라 창발하는 전략	고정된 계획보다는 원칙을 정하고 유연하게	창발전략	기존 생각을 부분적으로 수정했다	권민서
Wed Jan 10 2024 14:15:00 GMT+0900 (Korean Standard Time)	권민서	성장지향문화, 배움중심환경, 발전추구공동체	실수와 실패를 학습 기회로 받아들이는 문화	완벽함보다는 성장과 배움을 중시하는 환경	성장문화	기존 생각을 확인강화시켰다	마준혁
Wed Jan 10 2024 14:30:00 GMT+0900 (Korean Standard Time)	마준혁	지속적통합, 끊없는개선, 실시간최적화	매 순간 피드백을 받아 즉시 개선하는 시스템	일주일에 한 번이 아닌 매 순간 즉시 조정	실시간개선	기존 생각을 크게 확장시켰다	진서윤
Wed Jan 10 2024 14:45:00 GMT+0900 (Korean Standard Time)	진서윤	혁명적자기돌봄, 근본적셀프케어, 전면적자애	자기 돌봄을 선택이 아닌 의무로 인식	타인을 위해 자신을 희생하는 것이 아닌 자기 우선	혁명적돌봄	완전히 새로운 관점을 제시했다	방시원
Wed Jan 10 2024 15:00:00 GMT+0900 (Korean Standard Time)	방시원	복잡네트워크이론, 연결의과학, 관계역학	복잡한 연결 구조에서 나타나는 패턴 분석	모든 습관이 서로 연결되어 영향을 미치는 네트워크	연결과학	기존 생각을 부분적으로 수정했다	공지안
Wed Jan 10 2024 15:15:00 GMT+0900 (Korean Standard Time)	공지안	이야기의힘, 내러티브변화, 의미재구성	자신의 인생 스토리를 다시 쓰는 힘	피해자 스토리가 아닌 영웅 여정의 스토리로	스토리파워	기존 생각을 확인강화시켰다	노건우
Wed Jan 10 2024 15:30:00 GMT+0900 (Korean Standard Time)	노건우	전인적운동철학, 몸마음영혼통합, 총체적건강	신체적 건강을 넘어선 전존재의 건강	근력, 유산소, 유연성, 균형, 정신력, 영성까지	전인건강	기존 생각을 크게 확장시켰다	도채원
Wed Jan 10 2024 15:45:00 GMT+0900 (Korean Standard Time)	도채원	모노노아와레, 덧없음의아름다움, 순간의소중함	덧없이 지나가는 순간의 아름다움을 느끌	영원하지 않기 때문에 더욱 소중한 지금 이순간	덧없음미학	완전히 새로운 관점을 제시했다	라현준
Wed Jan 10 2024 16:00:00 GMT+0900 (Korean Standard Time)	라현준	집단지성활용, 크라우드위즈덤, 협력적문제해결	혼자의 지혜보다 집단의 지혜가 뛰어남	어려운 문제는 혼자 고민하지 말고 집단지성 활용	집단지혜	기존 생각을 부분적으로 수정했다	모아린
Wed Jan 10 2024 16:15:00 GMT+0900 (Korean Standard Time)	모아린	만물상호연결, 우주적관점, 통합적존재	모든 것이 연결되어 있다는 우주적 관점	내 작은 변화가 우주 전체와 연결되어 있음	우주연결	기존 생각을 확인강화시켰다	배준우
Wed Jan 10 2024 16:30:00 GMT+0900 (Korean Standard Time)	배준우	오픈소스마인드, 투명한공유, 집단발전	개인의 성과를 모두와 투명하게 공유	경쟁이 아닌 협력으로 함께 발전하는 마인드	오픈소스	기존 생각을 크게 확장시켰다	서지민
Wed Jan 10 2024 16:45:00 GMT+0900 (Korean Standard Time)	서지민	트라이벌소속감, 부족의식, 공동체정체성	현대판 부족 공동체의 강력한 소속감	같은 목표를 가진 사람들과의 깊은 유대감	부족의식	완전히 새로운 관점을 제시했다	염시후
Wed Jan 10 2024 17:00:00 GMT+0900 (Korean Standard Time)	염시후	안티프래질리티, 역경에서강해짐, 스트레스성장	스트레스와 충격에서 오히려 더 강해지는 능력	어려움을 피하지 말고 그것을 통해 더 강해지기	반취약성	기존 생각을 부분적으로 수정했다	유채은
Wed Jan 10 2024 17:15:00 GMT+0900 (Korean Standard Time)	유채은	통합의료시스템, 전방위적치유, 다차원적건강	현대의학과 전통의학의 완전한 통합	몸-마음-영혼-관계-환경의 총체적 치유	전방위치유	기존 생각을 확인강화시켰다	이건희
Wed Jan 10 2024 17:30:00 GMT+0900 (Korean Standard Time)	이건희	하이퍼개인화, 극도맞춤화, 유니크경험	개인의 모든 특성을 반영한 극도의 맞춤화	일반적 방법이 아닌 나만을 위한 유일한 방법	극맞춤화	기존 생각을 크게 확장시켰다	임나은
Wed Jan 10 2024 17:45:00 GMT+0900 (Korean Standard Time)	임나은	바디인텔리전스, 몸의지혜, 직관적앎	몸이 가진 무의식적 지혜와 직관 활용	논리적 분석보다 몸의 직감을 먼저 신뢰	몸의직관	완전히 새로운 관점을 제시했다	장준영
Wed Jan 10 2024 18:00:00 GMT+0900 (Korean Standard Time)	장준영	플래닛어리콜라보레이션, 지구적협력, 인류공동운명	지구 전체의 관점에서 인류 공동 협력	국가나 민족을 넘어선 인류 공동체 의식	지구협력	기존 생각을 부분적으로 수정했다	정서진
Wed Jan 10 2024 18:15:00 GMT+0900 (Korean Standard Time)	정서진	디지털휴머니즘2.0, 기술인간조화, 균형진화	기술 발전과 인간성의 완벽한 조화	AI와 경쟁하지 않고 협력하며 함께 진화	기술인간조화	기존 생각을 확인강화시켰다	조민준
